Headings,Name,Brand,Price,Old_price
IB Best Sellers,Urja Lite 12 Inch Exhaust Fan UL12FA,UrjaLite,Rs.690,"Rs.2,118"
IB Best Sellers,Kawachi 10 In 1 Combo Pack Best Spin Mop & Bucket System C92,Kawachi,Rs.968,"Rs.2,542"
IB Best Sellers,Soldron Soldering-Desoldering Kit,Soldron,"Rs.1,024","Rs.3,887"
IB Best Sellers,Bharat Tools Sine Bar (200 mm),BharatTools,"Rs.2,539","Rs.6,000"
IB Best Sellers,KYOCERA FS 1120 Laser Printer,KYOCERA,"Rs.11,580","Rs.15,254"
Top Rated Products @ Best Prices,AgriPro Gasoline Chain Saw 58 CC APCS58,AgriPro,"Rs.3,959","Rs.5,850"
Top Rated Products @ Best Prices,POWERWASH High Pressure Cleaner 1500W QL-1800C,POWERWASH,"Rs.4,826","Rs.8,600"
Top Rated Products @ Best Prices,Fulcrum 5 Drawers Tool Trolley FC-6005,Fulcrum,"Rs.14,234","Rs.18,900"
Top Rated Products @ Best Prices,Fulcrum 0.2-40m Laser Distance Meter FC-40A,Fulcrum,"Rs.2,041","Rs.2,800"
Top Rated Products @ Best Prices,Fulcrum 250-1000V Insulation Resistance Tester FC60B+,Fulcrum,"Rs.4,644","Rs.6,300"
Top Rated Products @ Best Prices,PowerHouse 1/2 Inch Impact Wrench 7000 RPM PH320,PowerHouse,"Rs.1,362","Rs.1,850"
Top Rated Products @ Best Prices,PowerHouse 110 mm Marble Cutter 1050W PHMC110,PowerHouse,"Rs.1,288","Rs.1,850"
Top Rated Products @ Best Prices,Fulcrum 1000 Kgs Mini Electric Wire Rope Trolley,Fulcrum,"Rs.5,696","Rs.13,100"
Top Rated Products @ Best Prices,Fulcrum 3 Drawers Tool Cabinet FC-2003,Fulcrum,"Rs.3,992","Rs.6,750"
Top Rated Products @ Best Prices,PowerHouse 50W 12V Polycrystalline Solar Panel PWHP50,PowerHouse,"Rs.1,582","Rs.2,250"
Top Rated Products @ Best Prices,PowerHouse Demolition Breaker 1450 r/min PHDB65,PowerHouse,"Rs.5,486","Rs.7,600"
Top Rated Products @ Best Prices,iFlo Domestic Water motor pump i-Flo1 0.5 HP,iFlo,"Rs.1,550","Rs.3,552"
Top Rated Products @ Best Prices,EGK 13 mm Multipurpose Reversible Power Tool Kit 121 Pcs EGK13IDTK,EGK,"Rs.2,183","Rs.7,626"
Top Rated Products @ Best Prices,NeoSafe Talent Brown A5007 9 Size Airmix Sole Safety Shoes,NeoSafe,Rs.467,Rs.951
Top Rated Products @ Best Prices,Nilkamal Dustbin 82 Litres RFLB80L1,NILKAMAL,"Rs.1,597","Rs.3,354"
Top Rated Products @ Best Prices,IB BASICS Executive Low Back Mesh Chair Buy Two At Price Of One IB-115,IBBASICS,"Rs.4,549","Rs.5,158"
Top Rated Products @ Best Prices,AgriPro Earth Auger with Drill Bit 71 CC APEA71,AgriPro,"Rs.10,861","Rs.18,250"
Top Rated Products @ Best Prices,Fulcrum Digital Moisture Meter 14 mm FC2G+,Fulcrum,"Rs.1,269","Rs.1,750"
Top Rated Products @ Best Prices,Fulcrum 7 Drawers Tool Trolley FC-6007,Fulcrum,"Rs.15,090","Rs.20,250"
Top Rated Products @ Best Prices,Fulcrum Single Drawer Tool Trolley JS-306/FC-306,Fulcrum,"Rs.7,106",N/A
Top Rated Products @ Best Prices,Fulcrum 2.5 Ton Hand Pallet Truck HPT2.5T,Fulcrum,"Rs.11,886","Rs.19,200"
Top Rated Products @ Best Prices,IB BASICS Executive Low Back Mesh Chair IB-115,IBBASICS,"Rs.2,259","Rs.2,677"
Top Rated Products @ Best Prices,PowerHouse 1/4 Inch Micro Air Die Grinder Kit PH14,PowerHouse,Rs.923,"Rs.1,300"
Top Rated Products @ Best Prices,PowerHouse 10 mm Electric Drill 350W PHED10,PowerHouse,Rs.550,Rs.750
Top Rated Products @ Best Prices,Fulcrum 200mV-600V Basic Digital Multimeter FC33B,Fulcrum,Rs.472,Rs.650
Top Rated Products @ Best Prices,Fulcrum F+N Coating Thickness Meter 0 to 1300um FC5168,Fulcrum,"Rs.9,025","Rs.12,150"
Top Rated Products @ Best Prices,PowerHouse 75W 12V Polycrystalline Solar Panel PWHP75,PowerHouse,"Rs.2,299","Rs.3,100"
Top Rated Products @ Best Prices,PowerHouse 355 mm Chopsaw PHCM355,PowerHouse,"Rs.3,415","Rs.4,750"
Top Rated Products @ Best Prices,Zebronics Tower Speaker ZEB-BTM9600RUCF,Zebronics,"Rs.9,167",N/A
Top Rated Products @ Best Prices,Monitor 10 Amps 4 KVA For 1.5 Ton AC Voltage Stabilizer,Monitor,"Rs.1,170","Rs.2,900"
Top Rated Products @ Best Prices,Gigamax 30 W Cool White Waterproof Led Flood Light M-02,Gigamax,Rs.855,"Rs.3,927"
Top Rated Products @ Best Prices,Wellton Healthcare Hospital Semi Fowler Bed WH1114,WelltonHealthcare,"Rs.9,920","Rs.21,000"
Top Rated Products @ Best Prices,Aristo 43240 CC FB Flat Bottom 22 ltr Plastic Crate,ARISTO,"Rs.2,242","Rs.7,996"
Top Rated Products @ Best Prices,Pahal Heavy Duty Bench Vice 100 mm,Pahal,Rs.979,"Rs.2,364"
Top Rated Products @ Best Prices,Prima PEH - 28 Galaxy Electrode Holder 1000 Amp,PRIMA,"Rs.1,763","Rs.3,500"
Top Rated Products @ Best Prices,StealODeal SF-400A 10 Kg Digital Multipurpose Weighing Scale,StealODeal,Rs.420,Rs.847
Top Rated Products @ Best Prices,AgriPro Pressure Sprayer 8 Ltr APPS08,AgriPro,Rs.467,Rs.750
